22 июн. 2024 - 19:13:03.133 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.4.4.Final
22 июн. 2024 - 19:13:03.163 [main] INFO  o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
22 июн. 2024 - 19:13:03.367 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
22 июн. 2024 - 19:13:03.391 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
22 июн. 2024 - 19:13:03.532 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@778113f2
22 июн. 2024 - 19:13:03.533 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
22 июн. 2024 - 19:13:04.558 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
22 июн. 2024 - 19:13:04.673 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
22 июн. 2024 - 19:13:04.845 [main] INFO  o.s.d.j.r.query.QueryEnhancerFactory - Hibernate is in classpath; If applicable, HQL parser will be used.
22 июн. 2024 - 19:13:05.532 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
22 июн. 2024 - 19:13:05.785 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@62a9c857, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@4dc9de0e, org.springframework.security.web.context.SecurityContextHolderFilter@5b1b5daf, org.springframework.security.web.header.HeaderWriterFilter@1cb83205, org.springframework.security.web.authentication.logout.LogoutFilter@7b7695f, org.example.kun_uzz.config.JwtTokenFilter@4dfe5727, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@1e1c1634, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@4ca3e806, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@6375af2a, org.springframework.security.web.access.ExceptionTranslationFilter@3b5fa30d, org.springframework.security.web.access.intercept.AuthorizationFilter@27211dd9]
22 июн. 2024 - 19:13:06.051 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8081 (http) with context path ''
22 июн. 2024 - 19:13:06.058 [main] INFO  o.example.kun_uzz.KunUzzApplication - Started KunUzzApplication in 4.816 seconds (process running for 5.481)
22 июн. 2024 - 19:13:06.112 [main] INFO  o.f.c.i.license.VersionPrinter - Flyway Community Edition 9.22.3 by Redgate
22 июн. 2024 - 19:13:06.112 [main] INFO  o.f.c.i.license.VersionPrinter - See release notes here: https://rd.gt/416ObMi
22 июн. 2024 - 19:13:06.112 [main] INFO  o.f.c.i.license.VersionPrinter - 
22 июн. 2024 - 19:13:06.125 [main] INFO  org.flywaydb.core.FlywayExecutor - Database: jdbc:postgresql://localhost:5432/jpa (PostgreSQL 16.2)
22 июн. 2024 - 19:13:06.130 [main] WARN  o.f.c.i.database.base.Database - Flyway upgrade recommended: PostgreSQL 16.2 is newer than this version of Flyway and support has not been tested. The latest supported version of PostgreSQL is 15.
